system,workload,style,share
sys_EEEE,6_11,E,100.0
sys_EEEE,2_8_11,E,100.0
sys_EEEE,0_4_5_7_11,E,100.0
sys_EEEE,2_3_4_5_9_11,E,100.0
sys_EEEE,0_1_5_8_9_11,E,100.0
sys_EEEE,2_3_4_5_6_9_11,E,100.0
sys_EEEY,6_11,E,100.0
sys_EEEY,6_11,Y,0.0
sys_EEEY,2_8_11,E,67.84395258338833
sys_EEEY,2_8_11,Y,32.15604741661166
sys_EEEY,0_4_5_7_11,E,100.0
sys_EEEY,0_4_5_7_11,Y,0.0
sys_EEEY,2_3_4_5_9_11,E,100.0
sys_EEEY,2_3_4_5_9_11,Y,0.0
sys_EEEY,0_1_5_8_9_11,E,54.46546009166346
sys_EEEY,0_1_5_8_9_11,Y,45.53453990833654
sys_EEEY,2_3_4_5_6_9_11,E,91.17101412431943
sys_EEEY,2_3_4_5_6_9_11,Y,8.828985875680567
sys_EEMM,6_11,E,100.0
sys_EEMM,6_11,M,0.0
sys_EEMM,2_8_11,E,100.0
sys_EEMM,2_8_11,M,0.0
sys_EEMM,0_4_5_7_11,E,100.0
sys_EEMM,0_4_5_7_11,M,0.0
sys_EEMM,2_3_4_5_9_11,E,99.3784999184485
sys_EEMM,2_3_4_5_9_11,M,0.6215000815514978
sys_EEMM,0_1_5_8_9_11,E,99.3921946921476
sys_EEMM,0_1_5_8_9_11,M,0.607805307852401
sys_EEMM,2_3_4_5_6_9_11,E,90.63156575523233
sys_EEMM,2_3_4_5_6_9_11,M,9.36843424476767
sys_EEMY,6_11,E,100.0
sys_EEMY,6_11,M,0.0
sys_EEMY,6_11,Y,0.0
sys_EEMY,2_8_11,E,100.0
sys_EEMY,2_8_11,M,0.0
sys_EEMY,2_8_11,Y,0.0
sys_EEMY,0_4_5_7_11,E,100.0
sys_EEMY,0_4_5_7_11,M,0.0
sys_EEMY,0_4_5_7_11,Y,0.0
sys_EEMY,2_3_4_5_9_11,E,99.25416831690858
sys_EEMY,2_3_4_5_9_11,M,0.7458316830914273
sys_EEMY,2_3_4_5_9_11,Y,0.0
sys_EEMY,0_1_5_8_9_11,E,98.70237207175316
sys_EEMY,0_1_5_8_9_11,M,0.6078690248115697
sys_EEMY,0_1_5_8_9_11,Y,0.6897589034352728
sys_EEMY,2_3_4_5_6_9_11,E,100.0
sys_EEMY,2_3_4_5_6_9_11,M,0.0
sys_EEMY,2_3_4_5_6_9_11,Y,0.0
sys_EEYY,6_11,E,100.0
sys_EEYY,6_11,Y,0.0
sys_EEYY,2_8_11,E,99.66386502021035
sys_EEYY,2_8_11,Y,0.3361349797896496
sys_EEYY,0_4_5_7_11,E,100.0
sys_EEYY,0_4_5_7_11,Y,0.0
sys_EEYY,2_3_4_5_9_11,E,73.2450512839301
sys_EEYY,2_3_4_5_9_11,Y,26.7549487160699
sys_EEYY,0_1_5_8_9_11,E,98.74177310258746
sys_EEYY,0_1_5_8_9_11,Y,1.2582268974125468
sys_EEYY,2_3_4_5_6_9_11,E,63.90806216486304
sys_EEYY,2_3_4_5_6_9_11,Y,36.09193783513696
sys_EYYY,6_11,E,1.1715952417037387
sys_EYYY,6_11,Y,98.82840475829626
sys_EYYY,2_8_11,E,13.552361396303901
sys_EYYY,2_8_11,Y,86.44763860369609
sys_EYYY,0_4_5_7_11,E,18.586975635489733
sys_EYYY,0_4_5_7_11,Y,81.41302436451026
sys_EYYY,2_3_4_5_9_11,E,62.50384638348099
sys_EYYY,2_3_4_5_9_11,Y,37.49615361651901
sys_EYYY,0_1_5_8_9_11,E,64.95745184586454
sys_EYYY,0_1_5_8_9_11,Y,35.04254815413546
sys_EYYY,2_3_4_5_6_9_11,E,34.25807968663496
sys_EYYY,2_3_4_5_6_9_11,Y,65.74192031336504
sys_MMMM,6_11,M,100.0
sys_MMMM,2_8_11,M,100.0
sys_MMMM,0_4_5_7_11,M,100.0
sys_MMMM,2_3_4_5_9_11,M,100.0
sys_MMMM,0_1_5_8_9_11,M,100.0
sys_MMMM,2_3_4_5_6_9_11,M,100.0
sys_MMYY,6_11,M,0.0
sys_MMYY,6_11,Y,100.0
sys_MMYY,2_8_11,M,0.0
sys_MMYY,2_8_11,Y,100.0
sys_MMYY,0_4_5_7_11,M,0.0
sys_MMYY,0_4_5_7_11,Y,100.0
sys_MMYY,2_3_4_5_9_11,M,0.3535456864335306
sys_MMYY,2_3_4_5_9_11,Y,99.64645431356647
sys_MMYY,0_1_5_8_9_11,M,14.006660377699266
sys_MMYY,0_1_5_8_9_11,Y,85.99333962230074
sys_MMYY,2_3_4_5_6_9_11,M,4.564029196079775
sys_MMYY,2_3_4_5_6_9_11,Y,95.43597080392023
sys_YYYY,6_11,Y,100.0
sys_YYYY,2_8_11,Y,100.0
sys_YYYY,0_4_5_7_11,Y,100.0
sys_YYYY,2_3_4_5_9_11,Y,100.0
sys_YYYY,0_1_5_8_9_11,Y,100.0
sys_YYYY,2_3_4_5_6_9_11,Y,100.0
