system,composition,homogeneous,workload,label,n_exits,accuracy,avg_et,avg_latency,avg_energy,et_reduction,classifier_share
sys_EEEE,EEEE,True,6_11,6_11_iter_0,2,87.28,374.18111047420473,493034.5038,0.000610280308472422,1.8998632983891244,0.27743186267549336
sys_EEEE,EEEE,True,2_8_11,2_8_11_iter_0,3,87.35,375.13897130973135,468140.9808,0.0005552247491767269,1.9123627559300718,0.31821298736372594
sys_EEEE,EEEE,True,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,389.10278325475036,483589.3173,0.000539826220382201,1.8701322171378845,0.346553163540253
sys_EEEE,EEEE,True,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,476.23469032713683,551670.6649,0.000623932265022494,1.5360075938595852,0.3493951241882422
sys_EEEE,EEEE,True,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,483.8072103268583,571341.5301,0.000638298993547497,1.5867851531869355,0.38051172502647107
sys_EEEE,EEEE,True,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,492.2977903072875,553601.5560999999,0.000624658683857347,1.5477562409759504,0.38052671130575905
sys_EEEY,EEEY,False,6_11,6_11_iter_0,2,87.28,374.18111047420473,493034.5038,0.000610280308472422,1.8998632983891244,0.27743186267549336
sys_EEEY,EEEY,False,2_8_11,2_8_11_iter_0,3,87.35,398.1912742053986,484012.189,0.0005681569140385692,1.93968736865047,0.30719466152265157
sys_EEEY,EEEY,False,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,389.1003109117304,483583.4595,0.000539829559887666,1.8701563120193903,0.34654476068383677
sys_EEEY,EEEY,False,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,476.21453214248083,551641.2227,0.000623940753896298,1.536090725466394,0.34936310966638423
sys_EEEY,EEEY,False,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,483.7935069101891,571291.2949,0.0006383390595359104,1.5868946138055997,0.38046355776885055
sys_EEEY,EEEY,False,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,492.2970810498953,553598.5560999999,0.000624660787762147,1.5477612108939367,0.3805249699453629
sys_EEMM,EEMM,False,6_11,6_11_iter_0,2,87.28,374.18111047420473,493034.5038,0.000610280308472422,1.8998632983891244,0.27743186267549336
sys_EEMM,EEMM,False,2_8_11,2_8_11_iter_0,3,87.35,375.13897130973135,468140.9808,0.0005552247491767269,1.9123627559300718,0.31821298736372594
sys_EEMM,EEMM,False,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,389.10278325475036,483589.3173,0.000539826220382201,1.8701322171378845,0.346553163540253
sys_EEMM,EEMM,False,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,476.23469032713683,551670.6649,0.000623932265022494,1.5360075938595852,0.3493951241882422
sys_EEMM,EEMM,False,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,478.21263246059857,567381.1077,0.000635427687307497,1.584139050275202,0.3826879398294672
sys_EEMM,EEMM,False,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,492.2977903072875,553601.5560999999,0.000624658683857347,1.5477562409759504,0.38052671130575905
sys_EEMY,EEMY,False,6_11,6_11_iter_0,2,87.28,374.18111047420473,493034.5038,0.000610280308472422,1.8998632983891244,0.27743186267549336
sys_EEMY,EEMY,False,2_8_11,2_8_11_iter_0,3,87.35,375.13488416097243,468129.7167,0.0005552315644078122,1.9123998539120681,0.3182014790745762
sys_EEMY,EEMY,False,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,389.1003109117304,483583.4595,0.000539829559887666,1.8701563120193903,0.34654476068383677
sys_EEMY,EEMY,False,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,476.21453214248083,551641.2227,0.000623940753896298,1.536090725466394,0.34936310966638423
