system,workload,stage,block_latency,classifier_latency
sys_EEEE,6_11,1,311034.0,34975.0
sys_EEEE,6_11,2,330116.0,213162.0
sys_EEEE,2_8_11,1,96766.0,11435.0
sys_EEEE,2_8_11,2,350967.0,77039.0
sys_EEEE,2_8_11,3,193417.0,213162.0
sys_EEEE,0_4_5_7_11,1,12160.0,5319.0
sys_EEEE,0_4_5_7_11,2,208252.0,19855.0
sys_EEEE,0_4_5_7_11,3,46335.0,34975.0
sys_EEEE,0_4_5_7_11,4,96510.0,77039.0
sys_EEEE,0_4_5_7_11,5,277893.0,213162.0
sys_EEEE,2_3_4_5_9_11,1,96766.0,11435.0
sys_EEEE,2_3_4_5_9_11,2,51456.0,19855.0
sys_EEEE,2_3_4_5_9_11,3,72190.0,19855.0
sys_EEEE,2_3_4_5_9_11,4,46335.0,34975.0
sys_EEEE,2_3_4_5_9_11,5,235129.0,55759.0
sys_EEEE,2_3_4_5_9_11,6,139274.0,213162.0
sys_EEEE,0_1_5_8_9_11,1,12160.0,9752.0
sys_EEEE,0_1_5_8_9_11,2,32768.0,20427.0
sys_EEEE,0_1_5_8_9_11,3,221819.0,34975.0
sys_EEEE,0_1_5_8_9_11,4,187130.0,77039.0
sys_EEEE,0_1_5_8_9_11,5,54143.0,55759.0
sys_EEEE,0_1_5_8_9_11,6,139274.0,213162.0
sys_EEEE,2_3_4_5_6_9_11,1,96766.0,11435.0
sys_EEEE,2_3_4_5_6_9_11,2,51456.0,35947.0
sys_EEEE,2_3_4_5_6_9_11,3,72190.0,19855.0
sys_EEEE,2_3_4_5_6_9_11,4,46335.0,34975.0
sys_EEEE,2_3_4_5_6_9_11,5,44287.0,34975.0
sys_EEEE,2_3_4_5_6_9_11,6,190842.0,55759.0
sys_EEEE,2_3_4_5_6_9_11,7,139274.0,213162.0
sys_EEEY,6_11,1,311034.0,34975.0
sys_EEEY,6_11,2,330116.0,213162.0
sys_EEEY,2_8_11,1,96766.0,11432.0
sys_EEEY,2_8_11,2,371414.0,77026.0
sys_EEEY,2_8_11,3,206933.0,213162.0
sys_EEEY,0_4_5_7_11,1,12160.0,5319.0
sys_EEEY,0_4_5_7_11,2,208252.0,19855.0
sys_EEEY,0_4_5_7_11,3,46335.0,34975.0
sys_EEEY,0_4_5_7_11,4,96510.0,77026.0
sys_EEEY,0_4_5_7_11,5,277893.0,213162.0
sys_EEEY,2_3_4_5_9_11,1,96766.0,11432.0
sys_EEEY,2_3_4_5_9_11,2,51456.0,19855.0
sys_EEEY,2_3_4_5_9_11,3,72190.0,19855.0
sys_EEEY,2_3_4_5_9_11,4,46335.0,34975.0
sys_EEEY,2_3_4_5_9_11,5,235129.0,55712.0
sys_EEEY,2_3_4_5_9_11,6,139274.0,213162.0
sys_EEEY,0_1_5_8_9_11,1,12160.0,9715.0
sys_EEEY,0_1_5_8_9_11,2,32768.0,20427.0
sys_EEEY,0_1_5_8_9_11,3,221819.0,34975.0
sys_EEEY,0_1_5_8_9_11,4,187130.0,77039.0
sys_EEEY,0_1_5_8_9_11,5,54143.0,55712.0
sys_EEEY,0_1_5_8_9_11,6,139274.0,213162.0
sys_EEEY,2_3_4_5_6_9_11,1,96766.0,11432.0
sys_EEEY,2_3_4_5_6_9_11,2,51456.0,35947.0
sys_EEEY,2_3_4_5_6_9_11,3,72190.0,19855.0
sys_EEEY,2_3_4_5_6_9_11,4,46335.0,34975.0
sys_EEEY,2_3_4_5_6_9_11,5,44287.0,34975.0
sys_EEEY,2_3_4_5_6_9_11,6,190842.0,55759.0
sys_EEEY,2_3_4_5_6_9_11,7,139274.0,213162.0
sys_EEMM,6_11,1,311034.0,34975.0
sys_EEMM,6_11,2,330116.0,213162.0
sys_EEMM,2_8_11,1,96766.0,11435.0
sys_EEMM,2_8_11,2,350967.0,77039.0
sys_EEMM,2_8_11,3,193417.0,213162.0
sys_EEMM,0_4_5_7_11,1,12160.0,5319.0
sys_EEMM,0_4_5_7_11,2,208252.0,19855.0
sys_EEMM,0_4_5_7_11,3,46335.0,34975.0
sys_EEMM,0_4_5_7_11,4,96510.0,77039.0
sys_EEMM,0_4_5_7_11,5,277893.0,213162.0
sys_EEMM,2_3_4_5_9_11,1,96766.0,11435.0
sys_EEMM,2_3_4_5_9_11,2,51456.0,19855.0
sys_EEMM,2_3_4_5_9_11,3,72190.0,19855.0
sys_EEMM,2_3_4_5_9_11,4,46335.0,34975.0
sys_EEMM,2_3_4_5_9_11,5,235129.0,55759.0
sys_EEMM,2_3_4_5_9_11,6,139274.0,213162.0
sys_EEMM,0_1_5_8_9_11,1,12160.0,9752.0
sys_EEMM,0_1_5_8_9_11,2,32768.0,20427.0
sys_EEMM,0_1_5_8_9_11,3,221819.0,34975.0
sys_EEMM,0_1_5_8_9_11,4,180986.0,77039.0
sys_EEMM,0_1_5_8_9_11,5,54143.0,55759.0
sys_EEMM,0_1_5_8_9_11,6,139274.0,213162.0
sys_EEMM,2_3_4_5_6_9_11,1,96766.0,11435.0
sys_EEMM,2_3_4_5_6_9_11,2,51456.0,35947.0
sys_EEMM,2_3_4_5_6_9_11,3,72190.0,19855.0
sys_EEMM,2_3_4_5_6_9_11,4,46335.0,34975.0
sys_EEMM,2_3_4_5_6_9_11,5,44287.0,34975.0
sys_EEMM,2_3_4_5_6_9_11,6,190842.0,55759.0
sys_EEMM,2_3_4_5_6_9_11,7,139274.0,213162.0
sys_EEMY,6_11,1,311034.0,34975.0
sys_EEMY,6_11,2,330116.0,213162.0
sys_EEMY,2_8_11,1,96766.0,11432.0
sys_EEMY,2_8_11,2,350967.0,77026.0
sys_EEMY,2_8_11,3,193417.0,213162.0
sys_EEMY,0_4_5_7_11,1,12160.0,5319.0
sys_EEMY,0_4_5_7_11,2,208252.0,19855.0
sys_EEMY,0_4_5_7_11,3,46335.0,34975.0
sys_EEMY,0_4_5_7_11,4,96510.0,77026.0
sys_EEMY,0_4_5_7_11,5,277893.0,213162.0
